hhid,mrt24mnth,mrtdod_m1,mrtdod_y1,mrtdod_m2,mrtdod_y2,toishr,enrgelec,refrem,empl,rent,grn,tinc,ownrad,ownhif,owntel,ownsat,ownvid,owncom,owncam,owncel,ownelestv,owngasstv,ownparstv,ownmic,ownfrg,ownwsh,ownvehpri,mrtage1,mrtage2,dwltyp,watsrc,watdis,toi,enrgck,enrght,enrglght,tinc_brac1,tinc_brac2,tinc_brac3,tinc_brac4,tinc_brac5,tinc_brac6,tellnd,prov,geo
500057,No,,,,,Yes,Yes,Yes,Yes,No,Yes,2720.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,2.0,,1.0,1.0,11.0,1.0,,,,,,,3.0,7.0,3
500058,No,,,,,No,Yes,Yes,Yes,Yes,No,30000.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,3.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500060,No,,,,,No,Yes,No,Yes,No,No,1500.0,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,,,1.0,1.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500063,No,,,,,No,Yes,Yes,No,No,Yes,1500.0,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,6.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500065,No,,,,,No,Yes,Yes,Yes,No,No,66000.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,5.0,3
500066,No,,,,,No,Yes,No,No,No,Yes,1520.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,,,,3.0,1.0,5.0,1.0,1.0,1.0,,,,,,,3.0,5.0,1
500067,No,,,,,No,Yes,No,No,No,Yes,4200.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,9.0,3
500071,No,,,,,No,No,No,No,No,Yes,1600.0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,8.0,,5.0,5.0,5.0,,,,,,,,3.0,2.0,2
500073,No,,,,,No,No,No,No,No,Yes,3000.0,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,1.0,11.0,,4.0,5.0,5.0,7.0,,,,,,,3.0,5.0,2
500074,No,,,,,Yes,Yes,No,Yes,No,No,3000.0,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,2.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
